str,nutri_scores
"Corn flour, yellow, degermed",b
"Corn flour, masa, unenriched",a
"Cornmeal, whole-grain, yellow",a
"Cornmeal, degermed, enriched",a
"Cornmeal, yellow, self-rising",a
Cornstarch,a
"Couscous, dry",c
"Couscous, cooked",b
"Hominy, canned, white",c
"Millet, raw",a
"Millet, cooked",a
"Oat bran, raw",a
"Oat bran, cooked",b
"Quinoa, uncooked",a
"Rice, brown, long-grain",b
Oats,b
"Rice, brown, medium-grain",b
"Rice, brown, parboiled",a
"Rice, white, long-grain",a
"Rice, white, medium-grain",a
"Rice, white, short-grain",a
"Rice, white, glutinous",a
"Rice, white, steamed",a
"Rice bran, crude",a
"Rice flour, white, unenriched",b
Rye grain,b
"Rye flour, dark",a
"Rye flour, medium",a
"Rye flour, light",a
"Semolina, enriched",a
Sorghum grain,a
"Tapioca, pearl, dry",c
Triticale,c
"Triticale flour, whole-grain",a
"Wheat, hard red spring",b
"Wheat, hard red winter",b
"Wheat, soft red winter",b
"Wheat, hard white",c
"Wheat, soft white",a
"Wheat, durum",b
"Wheat bran, crude",b
"Wheat germ, crude",b
"Wheat flour, whole-grain ",c
"Wheat flour, white, all-purpose",c
"Wheat flour, white, bread",c
"Wheat flour, white, cake",a
"Wheat flour, white, tortilla mix",b
"Wheat, sprouted",b
"Wild rice, raw",b
"Wild rice, cooked",c
"Rice flour, brown",c
"Pasta, gluten-free, corn",b
"Pasta, fresh-refrigerated, plain",a
"Pasta, fresh-refrigerated, spinach",a
"Pasta, homemade, made with egg",a
"Pasta, homemade, made without egg",c
"Macaroni, vegetable, enriched",c
"Noodles, egg, dry",c
"Noodles, egg, enriched",b
"Noodles, egg, spinach",b
"Noodles, chinese, chow mein",a
"Noodles, japanese, soba",a
"Noodles, japanese, somen",d
"Noodles, flat, crunchy",a
"Pasta, dry, enriched",a
macaroni product,e
spaghetti,a
elbow macaroni,a
lasagna,a
penne,a
rotini,c
farfalle,b
shells,b
"Pasta, cooked, enriched",a
macaroni product,a
spaghetti,b
elbow macaroni,a
rotini,c
lasagna,c
farfalle,d
shells,e
penne,e
"Pasta, whole-wheat, dry ",c
spaghetti,c
elbow macaroni,c
penne,c
farfalle,c
lasagna,c
shells,c
macaroni product,d
"Pasta, whole-wheat, cooked ",c
macaroni product,d
spaghetti,d
elbow macaroni,c
penne,d
farfalle,c
lasagna,c
rotini,c
shells,a
"Spaghetti, spinach, dry",b
"Spaghetti, spinach, cooked",e
"Wheat flours, bread, unenriched",e
Barley flour or meal,e
Barley malt flour,d
"Oat flour, partially debranned",c
"Rice noodles, dry",d
"Rice noodles, cooked",d
"Pasta, whole grain, 51% whole wheat",b
macaroni product,c
spaghetti,c
elbow macaroni,b
farfalle,a
rotini,b
lasagna,b
shells,c
penne,a
"Quinoa, cooked",c
"Wheat, KAMUT khorasan, uncooked",c
khorassan wheat,c
"Wheat, KAMUT khorasan, cooked",c
khorassan wheat,b
"Spelt, uncooked",b
"Spelt, cooked",b
"Teff, uncooked",b
"Teff, cooked",b
"Noodles, egg, cooked",c
"Corn grain, white",b
dent corn,c
field corn,c
"Corn flour, whole-grain, blue ",c
"Corn flour, whole-grain, white",c
"Corn flour, yellow, masa",a
"Cornmeal, whole-grain, white",b
"Cornmeal, white, self-rising",b
"Hominy, canned, yellow",b
"Noodles, egg, unenriched",b
"Pasta, dry, unenriched",a
macaroni product,c
spaghetti,c
elbow macaroni,a
lasagna,c
rotini,b
shells,a
farfalle,a
penne,a
"Pasta, cooked, unenriched",a
macaroni product,a
spaghetti,a
elbow macaroni,a
penne,a
shells,a
farfalle,c
rotini,c
lasagna,a
"Cornmeal, degermed, unenriched",a
"Semolina, unenriched",a
"Spaghetti, protein-fortified, cooked",a
"Spaghetti, protein-fortified, dry",a
"Wheat flour, white , 9% protein",b
"Wheat flour, white , 10% protein",b
"Wheat flour, white , 11.5% protein",a
"Wheat flour, white , 13% protein",b
"Wheat flour, white , 15% protein",c
Millet flour,c
"Sorghum flour, whole-grain",c
"Wheat flour, whole-grain, soft wheat",c
"Sorghum flour, refined, unenriched",c
"Pasta, gluten-free, brown rice flour",b
"Pasta, gluten-free, corn flour and quinoa flour",c
"Pasta, gluten-free, rice flour and rice bran extract",c
"Pasta, gluten-free, corn and rice flour",c
,b
,c
,b
,b
,e
,e
,e
,a
,e
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,d
,d
,c
,c
,c
,c
,c
,c
,c
,c
,c
,d
,c
,c
,c
,c
,d
,c
,d
,c
,c
,c
,c
,d
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,d
,a
,a
,b
,a
,b
,b
,b
,c
,a
,a
,b
,c
,c
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,c
,c
,a
,c
,c
,a
,b
,c
,a
,a
,a
,a
,b
,b
,b
,a
,b
,b
,c
,c
,c
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,c
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,b
,b
,a
,a
,b
,a
,a
,a
,a
,b
,a
,a
,b
,a
,b
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,b
,b
,b
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,b
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,b
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,a
,a
,a
,b
,b
,c
,b
,a
,a
,a
,a
,a
,a
,a
,b
,c
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,c
,a
,a
,c
,a
,b
,b
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,c
,b
,a
,a
,a
,a
,a
,a
,a
,a
,c
,b
,c
,c
,b
,b
,a
,c
,a
,c
,a
,b
,c
,c
,c
,c
,a
,a
,a
,b
,c
,c
,a
,c
,c
,c
,a
,a
,c
,b
,a
,b
,c
,c
,a
,b
,b
,a
,c
,b
,b
,a
,a
,b
,a
,a
,a
,a
,b
,a
,a
,a
,c
,a
,a
,a
,a
,c
,b
,a
,b
,a
,b
,b
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,b
,a
,a
,a
,a
,b
,b
,a
,a
,a
,a
,b
,b
,b
,c
,b
,a
,a
,c
,c
,c
,c
,c
,c
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,b
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,b
,a
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,c
,c
,a
,b
,a
,a
,a
,a
,b
,a
,c
,a
,a
,b
,c
,b
,c
,c
,c
,a
,a
,c
,c
,a
,b
,c
,a
,a
,a
,a
,c
,b
,b
,b
,a
,a
,b
,b
,a
,a
,a
,a
,b
,a
,b
,b
,a
,a
,a
,a
,a
,b
,a
,a
,b
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,b
,b
,b
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,b
,b
,a
,b
,b
,c
,b
,a
,a
,b
,a
,a
,c
,b
,b
,b
,b
,a
,b
,b
,a
,a
,a
,a
,b
,a
,a
,b
,b
,b
,a
,b
,b
,b
,a
,a
,b
,a
,a
,a
,b
,b
,a
,b
,b
,a
,b
,a
,a
,a
,b
,a
,a
,b
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,c
,a
,b
,a
,b
,b
,a
,b
,a
,b
,a
,b
,a
,b
,b
,b
,a
,b
,c
,b
,a
,c
,c
,b
,a
,b
,a
,c
,b
,b
,a
,a
,b
,a
,a
,b
,b
,b
,b
,b
,b
,b
,a
,b
,a
,b
,a
,a
,b
,b
,a
,b
,b
,b
,b
,b
,a
,a
,b
,b
,b
,a
,b
,c
,b
,b
,b
,a
,a
,a
,a
,b
,a
,a
,b
,b
,a
,a
,b
,b
,a
,a
,b
,a
,b
,a
,a
,a
,a
,a
,a
,b
,c
,a
,b
,b
,b
,b
,a
,a
,b
,a
,b
,a
,b
,b
,c
,b
,a
,c
,d
,c
,a
,c
,c
,a
,c
,d
,a
,a
,c
,c
,a
,b
,b
,a
,a
,c
,a
,a
,c
,a
,a
,b
,c
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,c
,a
,a
,a
,a
,c
,a
,a
,c
,a
,a
,a
,a
,a
,b
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,c
,c
,c
,a
,c
,c
,c
,b
,a
,c
,b
,b
,c
,b
,c
,a
,c
,c
,c
,b
,b
,b
,b
,c
,c
,c
,a
,c
,c
,c
,c
,b
,b
,b
,b
,a
,b
,a
,b
,b
,c
,c
,e
,c
,d
,c
,e
,c
,d
,b
,b
,b
,c
,b
,a
,a
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,d
,c
,c
,c
,c
,b
,c
,d
,a
,c
,a
,c
,a
,c
,c
,c
,d
,b
,d
,d
,e
,a
,b
,c
,c
,c
,b
,b
,b
,a
,b
,a
,c
,c
,d
,c
,d
,c
,c
,c
,c
,c
,d
,d
,d
,d
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,a
,c
,c
,d
,d
,a
,b
,c
,b
,c
,b
,a
,b
,b
,c
,c
,b
,b
,c
,c
,b
,c
,a
,a
,b
,c
,a
,a
,a
,b
,a
,b
,a
,b
,a
,a
,c
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,c
,c
,a
,a
,e
,c
,c
,c
,c
,a
,c
,b
,e
,e
,d
,d
,d
,c
,b
,b
,c
,b
,c
,b
,d
,c
,b
,c
,c
,c
,c
,b
,b
,b
,c
,b
,b
,a
,c
,c
,c
,c
,a
,a
,c
,c
,c
,b
,b
,c
,c
,b
,c
,b
,c
,c
,c
,a
,b
,b
,b
,a
,b
,b
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,b
,b
,b
,a
,b
,b
,b
,b
,b
,a
,b
,b
,b
,a
,a
,a
,c
,c
,c
,a
,b
,b
,b
,a
,b
,b
,c
,c
,b
,a
,b
,b
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,c
,c
,c
,c
,a
,b
,b
,b
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,b
,b
,b
,a
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,b
,b
,a
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,b
,a
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,a
,b
,b
,b
,b
,b
,b
,b
,a
,a
,b
,b
,b
,b
,b
,b
,b
,b
,b
,a
,b
,b
,a
,b
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,b
,c
,b
,c
,c
,b
,b
,a
,a
,a
,a
,b
,a
,a
,b
,c
,b
,b
,b
,b
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,c
,b
,b
,b
,a
,b
,b
,b
,b
,b
,b
,b
,c
,b
,c
,b
,c
,b
,b
,b
,d
,c
,b
,b
,c
,c
,b
,b
,c
,d
,d
,a
,b
,b
,a
,b
,a
,a
,a
,c
,c
,b
,b
,c
,b
,c
,b
,c
,a
,c
,b
,b
,d
,b
,b
,a
,c
,a
,b
,b
,b
,b
,b
,b
,b
,b
,b
,e
,b
,a
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,a
,b
,b
,c
,c
,c
,d
,b
,e
,d
,e
,b
,b
,a
,d
,b
,b
,a
,b
,a
,b
,b
,b
,d
,a
,b
,c
,b
,b
,b
,b
,c
,c
,b
,b
,b
,b
,b
,b
,c
,d
,b
,d
,b
,d
,b
,b
,b
,e
,b
,d
,c
,e
,b
,d
,b
,b
,b
,b
,b
,c
,d
,b
,b
,a
,b
,c
,d
,a
,b
,a
,d
,b
,c
,b
,b
,b
,b
,b
,b
,b
,b
,d
,b
,a
,b
,b
,d
,d
,b
,b
,c
,a
,c
,b
,c
,b
,b
,b
,d
,b
,b
,b
,b
,b
,b
,b
,b
,b
,d
,b
,b
,b
,b
,b
,b
,b
,c
,c
,c
,b
,b
,d
,b
,d
,b
,b
,b
,c
,c
,c
,b
,b
,b
,d
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,c
,a
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,c
,b
,b
,b
,b
,b
,c
,a
,c
,a
,a
,a
,a
,a
,a
,a
,a
,c
,d
,a
,c
,a
,a
,a
,c
,a
,a
,c
,a
,a
,a
,a
,b
,c
,a
,b
,b
,a
,a
,a
,a
,c
,a
,a
,a
,a
,b
,c
,c
,b
,a
,a
,b
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,b
,a
,a
,a
,a
,b
,c
,a
,c
,b
,a
,b
,a
,a
,a
,b
,a
,a
,b
,b
,c
,a
,a
,a
,a
,b
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,b
,b
,a
,b
,a
,a
,c
,a
,a
,a
,a
,c
,c
,c
,a
,b
,b
,b
,a
,b
,a
,a
,a
,b
,b
,c
,c
,c
,c
,a
,a
,c
,b
,c
,c
,a
,b
,a
,a
,b
,a
,a
,c
,a
,a
,a
,a
,c
,c
,a
,b
,a
,b
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,b
,c
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,b
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,c
,a
,c
,b
,b
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,c
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,a
,a
,a
,b
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,a
,a
,a
,a
,c
,c
,c
,c
,c
,c
,c
,d
,c
,c
,c
,d
,a
,a
,a
,a
,a
,c
,a
,c
,a
,a
,a
,a
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,c
,c
,c
,a
,a
,a
,a
,a
,c
,a
,a
,a
,a
,a
,c
,a
,a
,a
,a
,a
,d
,c
,d
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,d
,b
,a
,a
,a
,b
,b
,a
,b
,b
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,b
,a
,a
,b
,a
,a
,a
,a
,b
,b
,b
,b
,b
,b
,b
,b
,b
,b
,c
,b
,b
,b
,b
,b
,c
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,c
,c
,c
,c
,c
,c
,c
,a
,a
,a
,a
,a
,c
,a
,a
,a
,c
,c
,a
,a
,c
,c
,a
,a
,c
,a
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,b
,a
,b
,b
,c
,a
,a
,a
,a
,c
,b
,c
,c
,b
,c
,c
,c
,c
,c
,c
,a
,c
,a
,a
,b
,b
,a
,b
,b
,b
,c
,b
,b
,c
,b
,a
,b
,a
,b
,a
,b
,c
,a
,b
,b
,c
,a
,b
,a
,a
,b
,a
,c
,b
,a
,a
,c
,a
,a
,b
,c
,b
,a
,b
,a
,c
,c
,a
,b
,d
,d
,b
,c
,a
,a
,c
,c
,a
,a
,b
,b
,a
,a
,c
,c
,a
,b
,c
,c
,c
,a
,b
,b
,c
,c
,c
,b
,b
,b
,c
,c
,c
,c
,a
,c
,b
,b
,c
,c
,c
,c
,a
,c
,b
,b
,c
,c
,c
,c
,a
,c
,b
,b
,a
,b
,a
,c
,c
,a
,b
,d
,d
,b
,c
,a
,a
,b
,c
,a
,b
,c
,c
,a
,b
,c
,c
,a
,b
,c
,c
,a
,c
,a
,b
,a
,a
,d
,d
,a
,a
,c
,b
,a
,a
,a
,c
,a
,a
,b
,c
,c
,a
,a
,b
,b
,c
,c
,a
,b
,b
,a
,b
,b
,a
,a
,b
,a
,b
,b
,a
,a
,b
,a
,b
,b
,a
,a
,b
,a
,c
,b
,a
,a
,a
,a
,a
,c
,b
,a
,a
,a
,b
,b
,a
,a
,a
,a
,a
,d
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,c
,a
,a
,b
,a
,b
,a
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,a
,a
,a
,a
,a
,c
,b
,c
,b
,c
,a
,a
,a
,a
,a
,a
,c
,c
,a
,b
,c
,c
,c
,c
,b
,c
,c
,c
,b
,b
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,a
,a
,a
,d
,b
,c
,c
,c
,b
,a
,b
,a
,a
,c
,c
,a
,b
,d
,d
,c
,c
,a
,a
,c
,c
,a
,b
,c
,c
,a
,a
,c
,c
,a
,b
,c
,c
,a
,b
,b
,b
,a
,b
,c
,b
,a
,b
,c
,c
,a
,b
,c
,c
,a
,c
,c
,c
,a
,b
,c
,c
,b
,c
,c
,c
,a
,a
,a
,a
,a
,a
,b
,b
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,c
,d
,d
,d
,a
,a
,c
,a
,a
,d
,a
,a
,b
,b
,a
,a
,a
,b
,b
,a
,a
,a
,a
,a
,a
,c
,b
,a
,a
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,b
,a
,b
,a
,b
,b
,a
,c
,c
,c
,b
,b
,c
,c
,c
,a
,a
,c
,c
,c
,c
,c
,c
,c
,a
,b
,b
,b
,a
,a
,b
,a
,a
,a
,a
,a
,a
,d
,d
,c
,d
,a
,a
,b
,b
,b
,b
,b
,b
,b
,b
,d
,d
,d
,c
,c
,d
,d
,c
,c
,c
,b
,d
,c
,c
,a
,b
,b
,c
,b
,b
,b
,a
,a
,a
,a
,a
,b
,b
,a
,a
,a
,b
,b
,b
,a
,a
,b
,a
,a
,a
,a
,a
,b
,b
,b
,b
,b
,b
,c
,b
,b
,a
,a
,a
,a
,c
,c
,c
,c
,c
,c
,c
,e
,d
,d
,c
,d
,d
,d
,c
,d
,c
,c
,c
,c
,e
,c
,c
,e
,e
,c
,d
,c
,d
,c
,c
,d
,d
,c
,d
,b
,e
,d
,d
,d
,e
,e
,c
,d
,c
,d
,d
,c
,d
,e
,b
,d
,d
,e
,e
,d
,e
,d
,d
,d
,e
,e
,d
,d
,d
,c
,e
,c
,d
,d
,d
,c
,c
,c
,c
,c
,d
,c
,c
,c
,c
,d
,e
,d
,d
,b
,d
,c
,d
,c
,c
,d
,e
,d
,d
,e
,d
,c
,d
,c
,d
,d
,a
,a
,a
,a
,b
,c
,c
,d
,c
,d
,b
,c
,c
,d
,d
,d
,c
,d
,c
,c
,a
,c
,d
,c
,d
,c
,c
,d
,c
,d
,d
,e
,e
,c
,d
,d
,d
,d
,d
,a
,b
,a
,a
,b
,b
,a
,a
,a
,a
,c
,c
,c
,b
,c
,c
,d
,d
,c
,c
,c
,c
,c
,c
,b
,c
,c
,c
,c
,c
,c
,c
,c
,b
,c
,c
,b
,c
,c
,c
,c
,c
,c
,c
,c
,e
,d
,d
,d
,c
,c
,c
,c
,c
,c
,c
,d
,c
,c
,c
,c
,d
,d
,d
,d
,d
,d
,c
,c
,c
,b
,a
,b
,b
,a
,b
,b
,b
,a
,b
,c
,c
,d
,d
,d
,c
,c
,d
,a
,c
,c
,c
,c
,c
,c
,a
,c
,c
,a
,a
,c
,c
,d
,a
,a
,b
,c
,c
,c
,b
,e
,a
,d
,d
,c
,b
,b
,b
,c
,b
,b
,a
,c
,c
,d
,c
,d
,d
,b
,a
,b
,c
,c
,c
,b
,c
,c
,b
,c
,d
,c
,c
,b
,b
,b
,c
,c
,c
,d
,c
,a
,a
,b
,c
,c
,c
,c
,d
,d
,d
,d
,d
,d
,d
,d
,d
,d
,d
,c
,c
,c
,d
,b
,b
,c
,c
,e
,e
,d
,d
,e
,e
,d
,d
,d
,d
,d
,d
,d
,d
,d
,d
,d
,c
,c
,d
,d
,d
,d
,d
,d
,c
,d
,d
,d
,c
,e
,c
,d
,d
,d
,d
,d
,b
,c
,c
,e
,c
,d
,c
,c
,c
,c
,c
,c
,c
,d
,d
,c
,d
,d
,c
,d
,d
,d
,d
,c
,c
,c
,d
,d
,c
,c
,c
,c
,c
,c
,c
,d
,d
,c
,e
,c
,c
,a
,a
,d
,c
,a
,d
,c
,b
,b
,c
,c
,b
,a
,a
,c
,a
,e
,d
,d
,d
,d
,c
,c
,d
,e
,c
,c
,c
,c
,c
,c
,c
,d
,e
,c
,c
,e
,d
,d
,c
,c
,d
,d
,c
,c
,c
,c
,c
,c
,d
,d
,c
,c
,c
,a
,d
,a
,c
,d
,d
,e
,c
,c
,d
,d
,c
,e
,e
,a
,a
,a
,a
,b
,c
,c
,c
,d
,c
,c
,d
,e
,c
,e
,e
,e
,d
,d
,e
,d
,c
,c
,e
,d
,e
,d
,d
,e
,d
,e
,c
,d
,d
,d
,d
,e
,c
,c
,c
,c
,d
,d
,e
,d
,d
,d
,d
,d
,d
,d
,d
,e
,e
,e
,d
,c
,c
,d
,d
,b
,e
,e
,e
,c
,b
,c
,d
,d
,d
,e
,c
,c
,d
,d
,e
,e
,e
,c
,e
,e
,d
,e
,e
,d
,e
,e
,e
,d
,d
,e
,e
,e
,e
,e
,c
,e
,e
,e
,e
,e
,d
,e
,d
,c
,b
,a
,b
,c
,b
,a
,d
,b
,c
,b
,b
,d
,d
,c
,e
,c
,c
,c
,d
,c
,c
,c
,c
,c
,b
,e
,b
,c
,e
,c
,b
,b
,e
,c
,b
,b
,b
,b
,b
,d
,b
,c
,b
,b
,b
,c
,b
,d
,e
,e
,e
,e
,b
,b
,c
,c
,c
,d
,e
,d
,b
,d
,e
,c
,c
,c
,e
,e
,e
,d
,e
,d
,e
,e
,c
,c
,c
,d
,d
,c
,c
,b
,b
,c
,d
,c
,b
,c
,e
,c
,c
,d
,d
,d
,d
,d
,e
,d
,d
,e
,e
,e
,e
,b
,c
,e
,b
,e
,e
,c
,e
,c
,e
,c
,e
,c
,d
,d
,d
,d
,c
,c
,c
,d
,d
,d
,d
,d
,c
,d
,d
,d
,d
,c
,d
,d
,e
,d
,d
,c
,e
,c
,d
,c
,c
,d
,d
,e
,c
,c
,d
,e
,d
,e
,d
,c
,b
,d
,c
,c
,d
,c
,c
,e
,e
,d
,d
,c
,d
,a
,a
,d
,a
,d
,c
,c
,c
,c
,b
,c
,b
,c
,c
,d
,b
,d
,a
,d
,c
,b
,a
,c
,c
,c
,c
,b
,d
,d
,d
,c
,d
,d
,c
,a
,d
,d
,a
,c
,c
,b
,c
,c
,b
,a
,a
,a
,a
,b
,c
,c
,c
,b
,a
,c
,c
,c
,c
,c
,d
,b
,d
,a
,b
,b
,a
,c
,c
,a
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,a
,a
,c
,a
,b
,e
,d
,c
,b
,d
,d
,d
,d
,d
,d
,d
,c
,e
,d
,d
,e
,e
,a
,e
,b
,d
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,c
,c
,c
,c
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,b
,a
,b
,a
,b
,a
,b
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,a
,a
,d
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,c
,a
,c
,b
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,c
,c
,b
,c
,a
,a
,a
,a
,a
,a
,a
,a
,b
,a
,b
,b
,b
,b
,b
,a
,a
,a
,a
,a
,a
,a
,c
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,a
,c
,d
,c
,d
,c
,d
,e
,d
,d
,d
,d
,d
,c
,c
,d
,c
,c
,c
,c
,c
,c
,c
,d
,d
,c
,c
,b
,c
,c
,b
,d
,c
,c
,c
,b
,a
,a
,c
,a
,b
,c
,d
,c
,b
,c
,b
,b
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,c
,b
,b
,c
,b
,c
,c
,c
,c
,c
,c
